generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.993177308144752,0.0019251060368677508,0.0034358072840927046,0.0,5000,3202,1.0,7,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49714085187252693,0.4916768602272616,0.489783266688248,0.4999560782861127,0.08434193182500921,0.08824103974035336,0.08800554236610364,0.08647755709355309
1,0.9715633801429842,0.17817762111830984,0.006588463753756657,0.0,5000,3167,1.0,6,0,1.0,1.0,1.0,1.0,0.12200418295696035,0.13145021421459477,0.005868404601500701,-0.013123839998839107,0.5079369056943457,0.4859488159955755,0.48848645391421935,0.5011122913869935,0.0865655770280916,0.09161724162656187,0.09056816761821508,0.09011695890973406
2,0.9222894419154883,0.35283500002117524,0.009724917915562438,0.0,5000,3171,1.0,6,0,1.0,1.0,1.0,1.0,0.26042899368890515,0.2483820168371681,0.0126975971680795,-0.014470294875532575,0.5169306813840437,0.48403125737392827,0.4886204679685204,0.5056511789722047,0.08895027317157699,0.09519816935937829,0.09107980000806545,0.09352089807721613
3,0.8550928532117583,0.515266468377206,0.012918408719189742,0.0,5000,3202,1.0,6,0,1.0,1.0,1.0,1.0,0.3679541460243556,0.372925002001098,0.018127827508710823,-0.022211054477775397,0.527045605789309,0.48918396686886734,0.49013866043501375,0.5026586354245581,0.09405573993458775,0.09562160808602428,0.09544461689703938,0.09414024839465084
4,0.7753145425090828,0.673131099887568,0.015891325242667634,0.0,5000,3152,1.0,7,0,1.0,1.0,1.0,1.0,0.49109231024362116,0.4878908338687876,0.015533656696018333,-0.02258226125766096,0.530360290981309,0.4838247843713614,0.4902921056073499,0.5049580582805885,0.09373355135279317,0.096473180284121,0.09805364782849373,0.09320983715779109
5,0.6918000145445586,0.8236299829593965,0.01734661883719959,0.0,5000,3143,1.0,8,0,1.0,1.0,1.0,1.0,0.6153652374745664,0.6067467464473698,0.01296462381896185,-0.028576361090156453,0.5318752041332585,0.4957116363203051,0.5004826749838958,0.5084582230658915,0.09327281289032556,0.09782411276772082,0.09813738942828622,0.0936006134634929
6,0.6137253687892668,0.957720130863855,0.017878004311730387,0.0,5000,3181,1.0,6,0,1.0,1.0,1.0,1.0,0.7374769266030381,0.7359242206005572,0.002772690158803,-0.03637756524190645,0.5369772448399405,0.49888774679006037,0.5003990983099444,0.5000466187340351,0.09321965938086568,0.09795058915978365,0.0973745296378469,0.09099447097090696
7,0.5763690523482801,1.0160180192080626,0.020267322470842276,0.0,5000,3165,1.0,7,0,1.0,1.0,1.0,1.0,0.876415635565478,0.8347048520817397,0.011115400591224973,-0.0344130451078639,0.4884099656545796,0.4409422358813735,0.5101258147777313,0.5030573868909242,0.09129043005448362,0.09603211483074431,0.09622175693570645,0.08775567142138536
8,0.5662945840867336,1.022184690848119,0.025261835812708244,0.0,5000,3207,1.0,6,0,1.0,1.0,1.0,1.0,1.0038623368888426,0.9619513236687725,-0.008801340752632104,-0.02464871463792931,0.39241284969982876,0.34373572172869926,0.5131157174887424,0.5072100754426095,0.0786065645617014,0.08439748878652333,0.10185463338210808,0.09344853368445011
9,0.5571434353375552,1.0304280417294267,0.028700399980270304,0.0,5000,3146,1.0,7,0,1.0,1.0,1.0,1.0,1.1326703193718601,1.0966636199073359,0.006978503687969869,-0.017859473232091125,0.34040781932033576,0.24890234404155231,0.488121977451405,0.4949886006880351,0.0666971208585814,0.055098922131237654,0.10623979287331747,0.09920599482229996
