generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
0,0.9934128722150646,0.00013177605067298876,0.00246285952245796,0.0008836274211892303,0.003314797665183518,6.681747797875738e-05,0.0,0.0,0.08771692838236556,0.0011602679850061738,5000.0,0.0,3165.325,19.395086362272274,1.0,0.0,6.475,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995888421412745,0.006163730501484582,0.4991037415605568,0.005163956260076891,0.5008968498096265,0.007243936962892988,0.49853667689617465,0.005913187049941742,0.08734300022845631,0.0019483562900857337,0.08778466224559853,0.0020632158223679404,0.08770445101134443,0.002030536455187075,0.08803560004406295,0.0023029873270968898,0
1,0.971748992928133,0.0018107268135730899,0.17666039458886457,0.010387882770917317,0.006597626289516082,0.00016258368652997,0.0,0.0,0.0903177673721863,0.0015996696281765478,5000.0,0.0,3162.4,23.85979882563975,1.0,0.0,6.4,0.7681145747868608,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.12490631288922278,0.010243473357466434,0.12533608282592051,0.009398808804883215,-0.0010125026267164112,0.009171667822559956,0.0014310560038666542,0.009007355230697685,0.5020952286272371,0.009211201261317695,0.4986385713623078,0.00818147144929672,0.5006517248809924,0.010590511720662103,0.49879547796996243,0.008027417516326216,0.0901202133410606,0.002458774519321384,0.09023570785869071,0.0025036702977243716,0.09019304243180223,0.0025102292860327995,0.09072210585719169,0.0030264104378433052,0
2,0.9233465118031994,0.004844903604798555,0.34882094907320454,0.01507273026904927,0.009796422946561623,0.00027325854606433797,0.0,0.0,0.09213958578271528,0.0019347944549842602,5000.0,0.0,3158.6,24.531408438978794,1.0,0.0,6.25,0.7984359711335656,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2487232146446603,0.015061131893268133,0.25003745935081445,0.014712017813487325,0.0007177519909002438,0.013480423190071214,0.001078637044661689,0.011328745253533116,0.5032605026464368,0.010541816190937862,0.4996737902664411,0.010437666189181688,0.501308822613862,0.011431510190130808,0.49953570861642016,0.009418238294799156,0.0922429160371131,0.0023370395054376518,0.0917775285392333,0.002989302923996253,0.09187273259462775,0.0030782150703841347,0.09266516595988702,0.003509376365860236,0
3,0.8538871414775462,0.007683881734787113,0.5177651205712068,0.017459088578880504,0.012887029173945441,0.00041980241448032467,0.0,0.0,0.09346761253017655,0.0018160174490276287,5000.0,0.0,3167.05,20.80859197543169,1.0,0.0,6.25,0.6614378277661477,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.370708211959411,0.017014463722389517,0.37622963400371906,0.017006751184870852,0.001678445450122866,0.015000988159565383,-3.637240981939731e-05,0.015695702082849157,0.5034694757858242,0.010492936655137003,0.4999962390916748,0.012095550610361216,0.5009436934327358,0.012218533063898524,0.5003909471652092,0.011866222885065798,0.09354768065708997,0.002435355476936311,0.09280101310295434,0.0031057024345764427,0.09344380669121684,0.0032017478881186,0.09407794966944501,0.0028734985540861337,0
4,0.7694098830075784,0.01032879465360274,0.6844222328550538,0.019822936794171502,0.01582522307768833,0.0005088319642833713,0.0,0.0,0.0945629679413836,0.0017235256099276737,5000.0,0.0,3157.8,19.708120153885808,1.0,0.0,6.575,0.7709571972554637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4959667544186366,0.01961351551784612,0.5022637143245079,0.01969089798013624,-0.001220050343253566,0.015930944920358046,0.0018450113487290312,0.018465332906863363,0.5028105433983452,0.011885600777964913,0.5006609910155877,0.012746508641920791,0.5019065187403706,0.012933086325622975,0.503031071964992,0.011676227249030842,0.09470699371647319,0.0031338865493268577,0.0941465006060661,0.0028355279630336515,0.09431602459497371,0.0031871065230185264,0.09508235284802136,0.003243473553830358,0
5,0.6826780635118606,0.010320421355390344,0.8381993340675216,0.018207083725208868,0.01803562887973783,0.0006244609260367526,0.0,0.0,0.09547002215776819,0.0019049152586720324,5000.0,0.0,3161.575,19.946036573715592,1.0,0.0,6.375,0.5782516753110188,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6203670751874626,0.018566630537371502,0.6266907947620309,0.020758306711237805,-0.0019073383514624175,0.015484675375361924,0.0015519450470253197,0.02133663060560178,0.5051453571927988,0.013799242999359649,0.5019490334521877,0.014090364601188768,0.5047937516674598,0.013581125576853653,0.503507002411399,0.012586596382124835,0.09526974306265368,0.0035214441659484025,0.09551046400329025,0.0030450430062629037,0.09522008226032998,0.003433816409365309,0.09587979930479887,0.003415481041180292,0
6,0.6086907902779161,0.007685412802984793,0.964247356428794,0.01340585302506637,0.0189251195937258,0.0007470631124148789,0.0,0.0,0.0962175603715402,0.002049450425735669,5000.0,0.0,3161.625,23.794629120875157,1.0,0.0,6.575,0.7031180555212617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7453541574148564,0.0202303246034551,0.7521561152237115,0.02249581652632297,-0.004155279711585768,0.017468754948856274,0.0011543396897559627,0.02270618800456754,0.5068935321670905,0.016149784743748456,0.5026127664256451,0.015376740823303835,0.5099129390010798,0.016765734715214246,0.508744525475384,0.015345285103947746,0.09621889518012094,0.0035170421305759205,0.0968962205063957,0.0034172432120533895,0.0951856099114546,0.0033429919180536847,0.09656951588818961,0.004334985819748933,0
7,0.5769559005332794,0.004710500865238375,1.012108005222197,0.00839554143348289,0.021779669436081235,0.0012181475822990264,0.0,0.0,0.09460361614988332,0.0030435429524755223,5000.0,0.0,3156.975,24.92537612554723,1.0,0.0,6.475,0.7411983540186797,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8718580632160972,0.02324529314922287,0.8770495985056336,0.024110867798293117,-0.0044464254505313825,0.017986513754336984,8.006223953494138e-05,0.023037931647825183,0.43905365103872185,0.027292836405499423,0.43290241550022646,0.024285433806967117,0.5223062061130775,0.022391473207064274,0.518130833567518,0.02118902686587264,0.09293825968996602,0.0057090542768827085,0.09312225775567043,0.00563919809565471,0.09586540334316654,0.005256601326368038,0.0964885438107303,0.005611873255454478,0
8,0.5690255297848811,0.00788262633016998,1.0150914527724268,0.014318638608385384,0.027018730221949994,0.0024187563329117045,0.0,0.0,0.08745630963505488,0.00525811686573028,5000.0,0.0,3160.375,22.44402760201475,1.0,0.0,6.275,0.7411983540186797,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9969460896318848,0.02543293915699389,1.0043379070017324,0.02746799826240492,-0.0043755974059821665,0.02052262506060463,-0.0006392269076521143,0.02344771491063748,0.34668522583701805,0.04242239179037983,0.3453195004046917,0.03224048081428296,0.522621301104849,0.031286048821174854,0.5249036694630529,0.031512976914205064,0.07818569294549627,0.01012596453616944,0.07877702431162123,0.010089172481713527,0.09707446775308674,0.0072322201351014805,0.09578805353001532,0.008633984112666518,0
9,0.5676856300046798,0.012437210625901564,1.0151695903834281,0.02277195134951766,0.028090749976222608,0.003969417305025821,0.0,0.0,0.07521255799108896,0.0069006814686535,5000.0,0.0,3159.4,20.936570874906902,1.0,0.0,6.25,0.733143914930759,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1234393861568832,0.028102442637845945,1.130179015350014,0.02931409263022684,-0.005432290437781036,0.023143826436325662,0.003501024694062772,0.025340989215032788,0.275185972534993,0.045647563963808854,0.27034157709702067,0.035088958086091,0.5184869663600487,0.05401434781613254,0.5286997233827935,0.0574893764528725,0.05781054259294666,0.014873285513846875,0.05652455095928401,0.012424296326679135,0.09357122958752687,0.009453088339210002,0.09294390882459828,0.012629899618716484,0
