generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9934639622185818,0.0040138699046711555,0.0032861702877803873,0.0,5000,3142,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4930708402359679,0.49511421604375155,0.4993069096327404,0.4957574818745109,0.08868497840108858,0.0899750205436068,0.0849286920642753,0.08986899623554752
1,0.9604062776707324,0.23499774840580312,0.0065371835715527975,0.0,5000,3203,1.0,6,0,1.0,1.0,1.0,1.0,0.2388488921114681,-0.002716861989346645,-0.0007216271233992639,0.004290038133415683,0.49693058969609955,0.48905532884696123,0.49707598784055934,0.4976284671987852,0.09220198382928581,0.09506850445259224,0.08934359951943603,0.09115849280257003
2,0.8783165310031081,0.47212746613400935,0.009794511372967564,0.0,5000,3214,1.0,5,0,1.0,1.0,1.0,1.0,0.4829193249782557,-0.02002916313667895,0.030916881814854427,-0.00021750693609678615,0.4909750292182135,0.49067827225930777,0.5003839290129304,0.4973918138823891,0.09360048890723516,0.09505064579180483,0.09308326160346163,0.09613865339643532
3,0.7668481210494963,0.6975797525563311,0.012777493475185782,0.0,5000,3161,1.0,7,0,1.0,1.0,1.0,1.0,0.7180447803519059,-0.01610056590082124,0.02512531359743303,0.000949451088917043,0.4916047760733338,0.4887822802901774,0.5079777387832293,0.5024739668905213,0.09543337787649735,0.09566623180347744,0.09500795907948531,0.09592718483319683
4,0.6497986081473468,0.9018054814010477,0.015236177152615132,0.0,5000,3193,1.0,6,0,1.0,1.0,1.0,1.0,0.9443896837075367,-0.020227820752849037,0.00792442982501896,0.014982040467611032,0.49211503931341133,0.4796520014730452,0.5069157456294231,0.5069791071723059,0.09908249447429279,0.09525048637395538,0.09723444201519717,0.09500701577012732
5,0.5865086902851528,1.0104916581237853,0.015341363861823434,0.0,5000,3200,1.0,6,0,1.0,1.0,1.0,1.0,1.216104049448262,-0.018025032267177447,-0.009251285526159808,0.011566165897332392,0.3217004139937845,0.4897414953293085,0.5211736973505631,0.5278346424437496,0.06723920918106285,0.09400603697087426,0.09502410857486589,0.09430715873902698
6,0.579899074781514,1.0222738780445408,0.015144405318037195,0.0,5000,3129,1.0,6,0,1.0,1.0,1.0,1.0,1.480311056320903,-0.004979706836348243,-0.002241809017505139,0.015916164990591744,0.180979059400235,0.5185209025785326,0.5345350166908451,0.5125072817667113,0.034651856396660366,0.08759624597113032,0.09538811984401328,0.10177700098304618
7,0.5930933219247345,0.9998253916488175,0.015271985915027129,0.0,5000,3109,1.0,6,0,1.0,1.0,1.0,1.0,1.7165043288239639,-0.004471955410428202,-0.0038202794196314028,0.02195499064492438,0.12643408068660825,0.5144819167945865,0.6345128338299371,0.414217103083766,0.016677949238925592,0.07114006097687933,0.09580040416982552,0.09171336541962576
8,0.5745785050121717,1.0319162618436142,0.013370552249478758,0.0,5000,3182,1.0,7,0,1.0,1.0,1.0,1.0,1.9629024088206448,0.013549035037212439,0.0032622406592896433,0.02474069443553434,0.12031023396663118,0.49277869406868613,0.7379565973032183,0.3314907285067877,0.015115207654839345,0.06191257515197621,0.06434022924643716,0.07237412498431253
9,0.5561183433370408,1.0625385059946277,0.012805502716027064,0.0,5000,3170,1.0,6,0,1.0,1.0,1.0,1.0,2.2133535772608397,0.0186181104856985,0.011249159794096748,0.026346273321176745,0.13884218266099377,0.5324731584245709,0.7614122183228115,0.26079085281328346,0.016429780361176434,0.06749274102871158,0.04931946418195881,0.058060457361962116
10,0.5466504269869346,1.0759771898109858,0.01419680313206455,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,2.460067088981205,0.020239042863278423,-0.0004755553442756383,0.02758062315719431,0.14358400370522784,0.4726258416438817,0.7606312367298604,0.1882530014933078,0.01908639050513508,0.08245447028454972,0.04961185249154685,0.03414510509886296
