generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
0,0.9934128722150646,0.00013177605067298876,0.00246285952245796,0.0008836274211892303,0.003314797665183518,6.681747797875738e-05,0.0,0.0,0.08771692838236556,0.0011602679850061738,5000.0,0.0,3165.325,19.395086362272274,1.0,0.0,6.475,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995888421412745,0.006163730501484582,0.4991037415605568,0.005163956260076891,0.5008968498096265,0.007243936962892988,0.49853667689617465,0.005913187049941742,0.08734300022845631,0.0019483562900857337,0.08778466224559853,0.0020632158223679404,0.08770445101134443,0.002030536455187075,0.08803560004406295,0.0023029873270968898,0
1,0.9570202147411653,0.0025466876453676917,0.24892007347135786,0.010569219470319927,0.006594543621480037,0.00016608969459435777,0.0,0.0,0.09011408466013611,0.0015381628661233463,5000.0,0.0,3162.4,23.85979882563975,1.0,0.0,6.4,0.7681145747868608,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.24990631288922277,0.010243473357466434,0.00033608282592052785,0.009398808804883214,-0.0010125026267164112,0.009171667822559956,0.0014310560038666542,0.009007355230697685,0.501724540996071,0.00850319988377937,0.5001697330141416,0.008969106523261276,0.5014104502376936,0.0107890738119439,0.49814839024435675,0.00914303718162175,0.09016178660143903,0.002260600913256096,0.09012834034905896,0.0027350131183046765,0.08977062082231986,0.002665287820630771,0.0903955908677266,0.0027268894900182384,0
2,0.8693009952037489,0.006652293992881388,0.4934297850251461,0.015398157245804409,0.009780664877389895,0.000239176970515628,0.0,0.0,0.09204435053812217,0.0016750009404691453,5000.0,0.0,3158.6,24.531408438978794,1.0,0.0,6.25,0.7984359711335656,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4987232146446603,0.015061131893268132,3.7459350814483815e-05,0.014712017813487322,0.0007177519909002438,0.013480423190071214,0.001078637044661689,0.011328745253533116,0.5010980312543813,0.009621669417420932,0.5008043176444296,0.010792752127057392,0.5028817934174565,0.010938367332956372,0.4978609861443199,0.010519596891256235,0.09195286712609226,0.0026106954695760765,0.09202658929730059,0.002291687561032785,0.09172518500688766,0.003300090497687154,0.0924727607222082,0.0031332776714393914,0
3,0.7491783939944181,0.00961529601597625,0.7303518971530774,0.017635563445228784,0.012713420650763621,0.00035937764117487976,0.0,0.0,0.09342107916126416,0.0017376124057255668,5000.0,0.0,3167.05,20.80859197543169,1.0,0.0,6.25,0.6614378277661477,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.745708211959411,0.017014463722389517,0.0012296340037190638,0.017006751184870852,0.001678445450122866,0.015000988159565383,-3.637240981939731e-05,0.015695702082849157,0.50200919126302,0.010876269134315452,0.5010392181903844,0.012174093234650291,0.5042713011866438,0.011507746926951666,0.4990444895407255,0.010824370658652768,0.09339978087967604,0.0028143227702320055,0.09360278850463526,0.0023975723141695096,0.09278751883994887,0.00353639065379126,0.09389422842079646,0.003117039961658989,0
4,0.6217001350533288,0.010115467449117607,0.9502529335803203,0.01729121436142164,0.014641872028406971,0.0005160735683807728,0.0,0.0,0.09489013623581344,0.0015831192257099046,5000.0,0.0,3157.8,19.708120153885808,1.0,0.0,6.575,0.7709571972554637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9959667544186367,0.019613515517846115,0.0022637143245079487,0.01969089798013623,-0.001220050343253566,0.015930944920358046,0.0018450113487290312,0.018465332906863363,0.5114081547311918,0.012683944295968735,0.503775034592767,0.014014506211913687,0.5071425626024355,0.013951059580999776,0.5023501664138434,0.011476720149609397,0.09490407696151439,0.003130529340003517,0.09502334204461753,0.0027881856380585755,0.09420473563545845,0.003760447015236565,0.09542839030166342,0.002982710625045801,0
5,0.5757115518416838,0.004826797303353066,1.0289608502562764,0.008172814047973053,0.014473608544432044,0.0006736244027163495,0.0,0.0,0.08640538938970017,0.002629687345975899,5000.0,0.0,3161.575,19.946036573715592,1.0,0.0,6.375,0.5782516753110188,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2453670751874628,0.01856663053737149,0.0016907947620309351,0.02075830671123779,-0.0019073383514624175,0.015484675375361924,0.0015519450470253197,0.02133663060560178,0.32323411659989754,0.02236535313796808,0.5187015965231138,0.020206615556266,0.5205356322530944,0.022725202914322677,0.5148273545244072,0.02005029428354371,0.061426487198112015,0.006389201485480664,0.09457198560611244,0.004649610759781267,0.09409852075010597,0.004261707826633928,0.09552456400447026,0.005267349604937144,0
6,0.5683660833683808,0.006427749255721344,1.040509247724224,0.010406626822311261,0.014386310935779956,0.0014016717743352708,0.0,0.0,0.07836904019555253,0.004707820343541077,5000.0,0.0,3161.625,23.794629120875157,1.0,0.0,6.575,0.7031180555212617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.4953541574148563,0.02023032460345508,0.002156115223711565,0.022495816526322966,-0.004155279711585768,0.017468754948856274,0.0011543396897559627,0.02270618800456754,0.18866827513391443,0.022952198653474053,0.5290371981866243,0.04443746239539654,0.5238194297603437,0.04259665048265642,0.5204587445196156,0.03999399876458679,0.030664315166206917,0.006249265708453909,0.0919706434842259,0.011149467212176259,0.0942541139025391,0.009593038308737034,0.09658708822923821,0.009722712747371267,0
7,0.5589232768313541,0.01166114029454709,1.0572223582404578,0.021079591640829825,0.013381633492093398,0.002963913993920096,0.0,0.0,0.07284609049742405,0.008756215286239821,5000.0,0.0,3156.975,24.92537612554723,1.0,0.0,6.475,0.7411983540186797,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.7468580632160973,0.02324529314922286,0.0020495985056336033,0.024110867798293103,-0.0044464254505313825,0.017986513754336984,8.006223953494138e-05,0.023037931647825183,0.14388398619437542,0.021070967898902723,0.5314087563129383,0.08131212673747906,0.5325008894906831,0.0887625824345235,0.543107171061458,0.07253352789274992,0.02026948740567144,0.004716771056644137,0.08882727266439608,0.018078323015866194,0.08883166117682903,0.016519458317136537,0.09345594074279964,0.018106896919372145,0
8,0.5477877660998656,0.011307945409095486,1.0780939152823639,0.01965183560236737,0.011725278044162625,0.0027881743784678972,0.0,0.0,0.06521099536686062,0.013077123766156233,5000.0,0.0,3160.375,22.44402760201475,1.0,0.0,6.275,0.7411983540186797,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.996946089631885,0.025432939156993892,0.004337907001732205,0.0274679982624049,-0.0043755974059821665,0.02052262506060463,-0.0006392269076521143,0.02344771491063748,0.12486513242748054,0.030110158038855795,0.5322650318510137,0.12468438437989224,0.5440083172369521,0.12441003835836946,0.5620555052485526,0.10845072386431903,0.01633420834284734,0.0064147367685462526,0.07816795191863682,0.020994915119827314,0.07923940787262793,0.023407901432699874,0.08710241333333044,0.025859654345653803,0
9,0.5392072576222351,0.008561462157780064,1.0942251602342299,0.015077696060645674,0.010492318311732135,0.0032112364393658468,0.0,0.0,0.0581115780898096,0.014074062539737425,5000.0,0.0,3159.4,20.936570874906902,1.0,0.0,6.25,0.733143914930759,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.248439386156883,0.02810244263784596,0.005179015350013831,0.029314092630226794,-0.005432290437781036,0.023143826436325662,0.003501024694062772,0.025340989215032788,0.10792462621705563,0.024764760747603684,0.532633958369939,0.15961748468611928,0.547304839044913,0.1578795785745764,0.5784679021666677,0.13387426552306783,0.01350849659058009,0.006150681528566442,0.0703222593627048,0.02351632254489666,0.07003853804895965,0.024732138684545234,0.07857701835699385,0.028130229322537195,0
