generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9805739738200359,0.0024407413771338447,0.009854395698964036,0.0,5000,3153,1.0,7,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4956042060539082,0.5018755753575906,0.4941646698998559,0.5011571267509894,0.08478619187756709,0.08297672987949516,0.08518850199575635,0.08423085846913289
1,0.9480039891384943,0.17831462868728698,0.019072720117880426,0.0,5000,3159,1.0,6,0,1.0,1.0,1.0,1.0,0.12340172676427108,0.12761767869488413,-0.011273329705102666,-0.005411177626988139,0.49932403597479663,0.49954511166348337,0.497027679420651,0.5049468984193525,0.08602430813407766,0.08409286358195577,0.08350372456573421,0.08370840815368757
2,0.8946509849342626,0.3341932933269632,0.028858072317563294,0.0,5000,3126,1.0,7,0,1.0,1.0,1.0,1.0,0.24328062420818186,0.24483503355903624,-0.007769901540727411,0.00026866224120593914,0.49392888107085126,0.5045955509385099,0.5048492890236614,0.5048579733966488,0.08749493974719144,0.08258695034947695,0.08278664354929564,0.0850392733479813
3,0.8274961094812936,0.4914852303633983,0.037064820206998986,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,0.38460673616557506,0.35399977316701753,-0.006010639460980369,-0.014797888979710141,0.4952963606940812,0.5051949079408455,0.49931696267150794,0.5091913807853446,0.08688825662090077,0.08323181232297097,0.08188395894291632,0.08409368499491532
4,0.7567752044047487,0.631115773349275,0.04446638400352779,0.0,5000,3137,1.0,7,0,1.0,1.0,1.0,1.0,0.5083115162789942,0.4778806154383966,0.0010945568045495476,-0.002428308378853843,0.4906184273925038,0.5104500039348173,0.4970938993866038,0.5158667602001945,0.0874487275770987,0.08123159107351957,0.08134795240820229,0.08448586251982841
5,0.6915525864806625,0.7549779719426032,0.047631427907266294,0.0,5000,3128,1.0,6,0,1.0,1.0,1.0,1.0,0.6451994522032539,0.6083916760374876,-0.0047123468890326635,-0.0113166927432512,0.49312785499493395,0.5103122034149494,0.5052725675037363,0.5206586633891636,0.09001847736837444,0.07997916589109531,0.08159833183609415,0.08341502366830755
6,0.659095508355704,0.8180193354210886,0.04669768970026367,0.0,5000,3180,1.0,6,0,1.0,1.0,1.0,1.0,0.7525144651574935,0.7358916065668152,-0.020650626642419054,-0.00926542019270036,0.48125366067976655,0.5030651084092584,0.5173335991847231,0.5303692038957246,0.08674855825653299,0.08065703627946354,0.08205127464809521,0.08316654559172462
7,0.6325503389314007,0.8651750413169185,0.04677112195876399,0.0,5000,3163,1.0,7,0,1.0,1.0,1.0,1.0,0.8587491779539661,0.8663545878998953,-0.021667528628462527,-0.01730397561168437,0.473689505589365,0.4836172158007828,0.5320426036385166,0.5269504757263398,0.08627281963632032,0.08153718188259099,0.07710957569371228,0.08215488648532855
8,0.6162708585016241,0.8931693784486079,0.046829905350936035,0.0,5000,3105,1.0,6,0,1.0,1.0,1.0,1.0,0.9783199502266392,0.9944707185063966,-0.016204864595437667,-0.02142533888390817,0.4583190251628557,0.4722696035582452,0.5377738690636381,0.5297328379001887,0.08459813872683399,0.0788742633297666,0.07520151734687583,0.0825280201636807
9,0.601180277682035,0.9207807008287912,0.04610932271666947,0.0,5000,3203,1.0,7,0,1.0,1.0,1.0,1.0,1.1043595717242602,1.1061571596993964,-0.013439341905045884,-0.011785925604448532,0.4688886170171215,0.4435506495986848,0.5536449785420852,0.5413002054833184,0.08461678990237612,0.07405812112592622,0.07338789413337028,0.08160191496953784
10,0.5860219919160069,0.9495780953302175,0.04500143142467471,0.0,5000,3155,1.0,5,0,1.0,1.0,1.0,1.0,1.2293437911677318,1.2286094929470497,-0.026476579235168163,-0.008561455888752269,0.4666492848676374,0.4484351249162816,0.5565637755458792,0.5405877025213628,0.08440734645554943,0.07089519475560235,0.07540073142088782,0.08078542629507918
11,0.5795595972782339,0.9632810752210285,0.043619156882042404,0.0,5000,3143,1.0,7,0,1.0,1.0,1.0,1.0,1.3468127204755276,1.3664532633554574,-0.023477114920710626,-0.018325455270131095,0.4710515659764498,0.46157580730788433,0.5593840843700951,0.5351457845920694,0.08519098233546808,0.07261544671199578,0.07663824120438839,0.08281632623936816
