generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
0,0.9804934652062169,0.000432977413922039,0.004627432524047115,0.0015478051603136191,0.009892634089585416,0.00022332228631690966,0.0,0.0,0.08331477863323637,0.0009102530251679446,5000.0,0.0,3162.35,20.600424752902548,1.0,0.0,6.475,0.7411983540186795,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983066241632043,0.007612225059108675,0.498622821707462,0.006260096013209427,0.5009088117471996,0.006859670294249722,0.5001238362255631,0.006013744448664335,0.08335835714583417,0.0018732476383461246,0.08363498615566868,0.001809830459899507,0.08321443294741741,0.0013648032813275632,0.08305133828402522,0.002040811940424837,0
1,0.9475999566798169,0.0018303399167557716,0.17585054178572831,0.010233764916904144,0.01948987642009964,0.0004234831585750019,0.0,0.0,0.08318021018103836,0.0011089139450423415,5000.0,0.0,3162.2,22.917460592308217,1.0,0.0,6.425,0.7031180555212617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1257602677385649,0.008352459488371846,0.1256090526397981,0.010047286347125057,0.0011236644844197393,0.008159416196581724,-0.0014201939556726937,0.00796682096900056,0.49928568213314,0.00954182684201539,0.4995725104923435,0.008254136945667595,0.49988691742487995,0.00805329003879992,0.49926488874935104,0.007582027231371753,0.08317307335559025,0.0024117215374736566,0.08360641368762609,0.0022497507580989977,0.0832750999581094,0.0022891417212382776,0.08266625372282765,0.0018776478257170838,0
2,0.8924989759365445,0.0032824027734028637,0.3429122434435833,0.011486625158128146,0.02865224199466766,0.0006602551941536283,0.0,0.0,0.08308212819456015,0.0012880353322403746,5000.0,0.0,3165.775,22.47830898888971,1.0,0.0,6.525,0.7411983540186796,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.24956293497823104,0.012570545080456536,0.2516256517744687,0.013317727210199049,0.004237933488462873,0.014094298328184212,-0.0005267752262699901,0.011842707949898439,0.5003215057426326,0.011248932023350186,0.4966345924105968,0.010118696436166585,0.4990098170588011,0.0107886554612391,0.5000975711304607,0.009130929535515876,0.08309315848306675,0.0029993095221105505,0.08314138982663015,0.0023935314339654096,0.08351154868431107,0.002840460371183164,0.08258241578423262,0.0022962551623191348,0
3,0.8247687971298021,0.005508593677572221,0.498070621282413,0.014536684405782081,0.03709984172628518,0.000733260526718325,0.0,0.0,0.08328258010672393,0.0012633290315742618,5000.0,0.0,3157.675,16.11270849360839,1.0,0.0,6.35,0.6910137480542627,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3715583600311535,0.013468234860754819,0.377992104597769,0.014260649689237001,0.004713743977241038,0.013842621047971758,0.0015837534323319747,0.013493728474090718,0.49939699377711844,0.01230662029266913,0.49728123761519394,0.011795261677445108,0.49966647598574215,0.012476666593818079,0.49994072344455215,0.009672439612679863,0.08308099159909041,0.0028408777813146513,0.08332595080597652,0.002719509462466598,0.08414398307082874,0.003393230952118036,0.08257939495100008,0.0023859004892982645,0
4,0.7554355307807228,0.006940981226550582,0.6360538396011755,0.015436781900577014,0.0437185320596561,0.0009674570881846681,0.0,0.0,0.08336719057547576,0.0015355024077802718,5000.0,0.0,3157.525,16.89080741113343,1.0,0.0,6.325,0.5651327277728658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.49517557676334095,0.01606110646810182,0.5027130707641566,0.016929270288061817,0.005275435438991982,0.016462019992538348,0.001625063721940024,0.018779364671857167,0.49957780467754287,0.015177737180499714,0.49732501684223107,0.01288196393527505,0.49917286836463726,0.014950734418902377,0.5017501514395765,0.01136793393112513,0.08332609879487662,0.0033590742143695526,0.08326736875414484,0.0034645545429381457,0.08433360137761123,0.0034852885752566596,0.08254169337527031,0.002953414046168916,0
5,0.6986906136227944,0.007190497110371683,0.742048888501526,0.014827981591506818,0.0470889703802383,0.001149508756403937,0.0,0.0,0.08354673445905791,0.0015654883117822117,5000.0,0.0,3162.15,22.402622614327992,1.0,0.0,6.2,0.6403124237432849,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6199577731810744,0.018546949545222763,0.6277873181599551,0.020979010600460778,0.004407457209233612,0.02053803202485808,0.0012359523299426008,0.02066462763836038,0.49985970123103185,0.01588435471143802,0.4994060776492229,0.0147499975857924,0.49936744042745396,0.016480519865741474,0.49923406894238875,0.013437002729419644,0.08352460998025227,0.0037826941428951194,0.08357367150588202,0.003775915449436651,0.0844646597468959,0.003987418309657872,0.0826239966032015,0.0033764167394834616,0
6,0.6581392172791248,0.006669921966035168,0.8161670950753719,0.013829319602232113,0.04807318885186454,0.0014394078776316847,0.0,0.0,0.08393650386928331,0.001959497235014332,5000.0,0.0,3155.575,23.678985936901945,1.0,0.0,6.3,0.5567764362830021,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7469098756487516,0.019386446503618714,0.7534635202974036,0.021170493614914167,0.002584307626778521,0.02507747306873413,0.0026230280536331564,0.02320661874253617,0.49845938852732824,0.01791322760959368,0.5009816604745361,0.01706303320165438,0.49869375361579105,0.017669184348409802,0.49957003104720776,0.018087997741577485,0.0839608732826839,0.004387233524514322,0.0841511506561488,0.0044345913513541375,0.08453219446786134,0.004794851268783037,0.08310179707043923,0.004030088582573918,0
7,0.6326145808963064,0.005929305132821866,0.8614245085344322,0.012462804990816534,0.048484348684161405,0.0019024255439920254,0.0,0.0,0.0834580294021772,0.002524862333330599,5000.0,0.0,3160.875,20.118632533052537,1.0,0.0,6.275,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8713440574514507,0.02151961819944666,0.8761687629859274,0.022435879133784174,-0.0001311399492105493,0.023781876841193105,-0.0001624805092084878,0.026938382404696808,0.4983321230910791,0.024950307610550303,0.4996218686229654,0.020167638386367228,0.49640750565843694,0.02051382068781185,0.49801958915991545,0.02303326173888974,0.08402051405215204,0.005501752327362066,0.08360741709782209,0.0054716680514434405,0.0839209411795362,0.005510798965972474,0.08228324527919836,0.005057659571120976,0
8,0.6168567921184641,0.00569317028433272,0.8895815359965887,0.0114283964516215,0.048316108321217674,0.002041111063378024,0.0,0.0,0.08265030528290696,0.0031457588757321134,5000.0,0.0,3163.35,22.394809666527642,1.0,0.0,6.275,0.6703543838895961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9964671417547013,0.024618741809826712,1.001096934347671,0.024242656151214056,0.0010637938157227107,0.025580388425552505,-0.00199416883662988,0.027720530135760944,0.4974534382896481,0.034870285474448606,0.49955847107756834,0.024888008417290792,0.49579341536306154,0.024098737218863384,0.49781907205178033,0.03132698268195572,0.08385993260074284,0.006669229507837121,0.08271168181356821,0.006727850895613198,0.08270643167184835,0.007048976619999568,0.0813231750454684,0.006490041019557499,0
9,0.6052467560061568,0.006210424034385283,0.9105220271138801,0.012256079361266258,0.04797691932368449,0.0022769461201066735,0.0,0.0,0.08137894840646767,0.003936951145901752,5000.0,0.0,3162.525,24.544844163286104,1.0,0.0,6.425,0.7378177281686853,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1229147694067863,0.027148350371495926,1.126786328475909,0.024205189191076268,0.0022546149908424865,0.026560004534877824,-0.002058483314748839,0.027409065162568847,0.4958772008265127,0.04890901821136614,0.49830280469602,0.03310624909379754,0.4989734268377123,0.030490126042901352,0.4961078870795076,0.039094255760807745,0.08351102952981172,0.009086879493418002,0.0817613249815801,0.009909594267772444,0.08107594121311067,0.008582318750485174,0.07916749790136818,0.008018110008754053,0
10,0.5960689781294921,0.008320622120733461,0.9273482028073889,0.016521689004500656,0.04754121595891883,0.0026197248798142973,0.0,0.0,0.07982664301118854,0.004825408330719474,5000.0,0.0,3164.225,23.210436768833112,1.0,0.0,6.275,0.6319612329882268,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2485217462304115,0.029778656245924025,1.2538856215001328,0.026789795284838915,0.0013929948743790764,0.029689519404725685,-0.004508700814392337,0.02896057046720263,0.49569363316817394,0.06388216212097184,0.5015230949403133,0.0410054942331905,0.49911109119164376,0.04115146846553183,0.49961340483581856,0.05531178022456593,0.08346863828166735,0.012550363006770694,0.0806664389226502,0.014086947176609719,0.07863933764534041,0.010654282785758928,0.07653215719509616,0.009950982225480305,0
11,0.5896872546775588,0.010286946701043206,0.9400909446988812,0.021120664962792152,0.04663686173095871,0.003041163048551989,0.0,0.0,0.07791102177758427,0.006149595607776075,5000.0,0.0,3156.5,23.683327468917874,1.0,0.0,6.575,0.6666145812986692,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3739685723382133,0.03124049939602329,1.3813907431540948,0.029263355140965848,0.0014769461115825568,0.030848888685282606,-0.005672469767589452,0.03378225119521313,0.4955306652179834,0.07943925126382553,0.5038301597297422,0.05338501659814772,0.49494534264043005,0.05765178395772387,0.49958573626543623,0.07543344488295574,0.08329353093270189,0.017612614384154093,0.0793803711276648,0.018991237860223113,0.07622738698925187,0.014136263878841988,0.07274279806071851,0.01257566356443784,0
12,0.5853610274223009,0.012121556276213022,0.9491930677743348,0.025511548018227883,0.04579529045274755,0.003313187404842464,0.0,0.0,0.07526699193434791,0.008028065202778496,5000.0,0.0,3159.175,22.41304028908171,1.0,0.0,6.475,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.500149061255223,0.032854891344277874,1.5061772418149968,0.027961995658913868,0.0005799621789655547,0.031333743006161714,-0.005234515357425091,0.036000447951966684,0.4968008606262252,0.09915581531230971,0.5080722316746444,0.07337398509930382,0.4899830924674543,0.07679634418275137,0.49953850719931675,0.0978206036883488,0.08101550721450858,0.022903797767324634,0.07765292520393219,0.022109877179743873,0.07353394746591577,0.01761472635591185,0.06886558785303512,0.016406153018931027,0
13,0.5806994651298647,0.014285145451621677,0.9586996755054351,0.029717853271927688,0.04498145924877593,0.003810272755371478,0.0,0.0,0.07101136537187545,0.010731540089866404,5000.0,0.0,3161.15,22.120748179028666,1.0,0.0,6.325,0.6077622890571609,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6276161276217944,0.03429926796596722,1.6304665724538403,0.025971945414636974,0.0022591310403560364,0.03208925761455324,-0.006870705248337347,0.03877581714526509,0.5010194466400318,0.11568132745284875,0.5117666006278856,0.09841812466221188,0.4848134195345578,0.09574243921769164,0.499225987936209,0.1221764009812532,0.07733016563559413,0.027245079007951884,0.07417510468339203,0.025148539868031942,0.06951557079145193,0.022253664826985688,0.06302462037706376,0.02104600381217558,0
14,0.576459310690289,0.01493097442344209,0.9676900170073557,0.03076299661531775,0.044077030164628495,0.004284400401081637,0.0,0.0,0.06695951018206248,0.012927709464948693,5000.0,0.0,3166.325,19.278728562848745,1.0,0.0,6.375,0.8856494791959176,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.7509578954158467,0.0351557453878245,1.7556030948074113,0.027292927375086273,0.0050814826812587335,0.034556442060376946,-0.007497362217071634,0.03933179157842351,0.5052378035860241,0.13161562123786058,0.5152921425290551,0.1192386882139952,0.4769661278563035,0.10832233231097976,0.498184476180886,0.1429663090888167,0.07386280481187198,0.02982966454927649,0.06982725268052833,0.02823494364866189,0.06568751420067873,0.025889660309859137,0.05846046903517087,0.02524284348243053,0
15,0.5731127739885833,0.01446097494202169,0.9742926371058598,0.02889582634945279,0.04361908572382275,0.004440647751115919,0.0,0.0,0.06281160143195468,0.015219548270080133,5000.0,0.0,3163.025,22.544941228577198,1.0,0.0,6.5,0.6708203932499369,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8767883522825621,0.03859347832958764,1.88195271375848,0.02522765774121424,0.0020543300415194507,0.03673853774013885,-0.006873259552397639,0.041479955191335904,0.5076337837762429,0.1455472351761605,0.5164628321239911,0.13708073823013125,0.4679200917961226,0.12010931173472038,0.49416831479515844,0.16166903704633565,0.07050476179203437,0.030692672489576897,0.06494464654861336,0.030311587303089034,0.06164065387798021,0.02945374966677258,0.05415634350919074,0.029306093990788463,0
