generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9802098066457242,0.0049776990047156015,0.01003885314833592,0.0,5000,3116,1.0,7,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5026120617724771,0.5110526312865898,0.4998624394150571,0.4983650359178341,0.08297646114428951,0.08120352547672136,0.08145465377378487,0.08060841666582422
1,0.918485160481204,0.30643123516965937,0.01968843496711111,0.0,5000,3162,1.0,7,0,1.0,1.0,1.0,1.0,0.3103079301231818,0.01028760013695416,-0.00541803103121039,0.0005808815193598196,0.49903710952570746,0.5086464106162902,0.4905774142117193,0.5022267522191525,0.08453640733044988,0.08006215619472651,0.08257761379255821,0.08248127130743789
2,0.7994592286707545,0.5830367170887684,0.02970500824612963,0.0,5000,3205,1.0,6,0,1.0,1.0,1.0,1.0,0.605262732749934,-0.001987774997667568,-0.015025447765725519,0.0011291468825790308,0.49890155513989676,0.5148625432216992,0.4854610332494117,0.4932001396700808,0.0814571381312516,0.08259392458274058,0.08181651357812907,0.08355262122404017
3,0.6654565977181753,0.8339017579473459,0.03454794172877327,0.0,5000,3180,1.0,6,0,1.0,1.0,1.0,1.0,0.921972028370711,0.0036527092426811326,-0.02459703512807048,0.0011923450813069584,0.49926543183365313,0.5144670060762447,0.4925818398512627,0.48830332184146963,0.07929307271099978,0.08056266891864694,0.08237886327549147,0.08088460178249621
4,0.5982918538498545,0.9519839886500245,0.03402895146635352,0.0,5000,3182,1.0,7,0,1.0,1.0,1.0,1.0,1.2240166726123258,0.0075449143915702925,-0.00740612058800013,0.002099435251764572,0.48795535497274706,0.5169907617770362,0.5031796606551757,0.47810693815380145,0.07667101921610835,0.08211673955176023,0.0800068853973332,0.07567905650973326
5,0.5743890375593251,0.9973305753056138,0.03139991709735602,0.0,5000,3208,1.0,5,0,1.0,1.0,1.0,1.0,1.5294418768529905,-0.004080568446377831,-0.0007156427585028489,-0.008841156782451367,0.4994152215815408,0.5129175663805702,0.5278118350276544,0.49051648404166037,0.06608584953196485,0.09423996854940235,0.08167902362550453,0.06543682218649555
6,0.5592159302635226,1.0277390932959185,0.028497995889883006,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,1.8698357865377349,-0.008709261723294885,0.004513247236516884,-0.00011380931823953659,0.5097642587001157,0.4792133983544114,0.6067266058455961,0.516258693304928,0.046154765088259414,0.11147119947867952,0.0655225641910689,0.05920555421536457
7,0.5462691244200816,1.046848050777293,0.029561171173460264,0.0,5000,3171,1.0,7,0,1.0,1.0,1.0,1.0,2.178512917522332,-0.008910723667741975,0.015744669657316614,0.008890927028482693,0.5093710963053724,0.3501148941756846,0.6488052408590645,0.5007305251611065,0.030129993215615405,0.1097005699972739,0.046187784001057046,0.04313164631298667
8,0.5359901014531553,1.070840399309417,0.026278224062750946,0.0,5000,3175,1.0,6,0,1.0,1.0,1.0,1.0,2.492220020298603,-0.02214952818447475,0.0110856161312279,-0.004327704798991529,0.508821276086537,0.24554643827437317,0.6547542176124738,0.5025527616677701,0.015300803617031806,0.06357616964512501,0.022386744578233034,0.015495851385775288
9,0.540418183757198,1.0814244101556185,0.01628045435427642,0.0,5000,3165,1.0,6,0,1.0,1.0,1.0,1.0,2.781602411465543,-0.004041299945590389,0.01691893815938893,-0.009797028444988433,0.5112267875979998,0.18050948132216954,0.6671326241992022,0.5075237638624307,0.002370140719280208,0.009555592957394181,0.003468096839630183,0.0012635820028446237
10,0.5326517003775963,1.0987683547198026,0.013735776877385416,0.0,5000,3183,1.0,6,0,1.0,1.0,1.0,1.0,3.094305705615693,-0.012222449214981295,0.011607801752170032,-0.00733367337576717,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
11,0.5287636303854397,1.1032603904289566,0.01495594245027509,0.0,5000,3151,1.0,7,0,1.0,1.0,1.0,1.0,3.4008342625621015,-0.022502929956867708,0.008696789085213784,-0.019445729890842523,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
12,0.5311634644090686,1.1036601815354221,0.012405599700938868,0.0,5000,3163,1.0,6,0,1.0,1.0,1.0,1.0,3.6956157725849783,-0.008687054084703,0.013259328194336756,-0.021776562355778135,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
13,0.528481516732771,1.1034591338553825,0.015021448310741913,0.0,5000,3200,1.0,6,0,1.0,1.0,1.0,1.0,3.9964966543030496,0.0037060348137602384,0.02071735943086799,-0.01200791587652879,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
14,0.529880842948766,1.0994894884509527,0.0159695637804162,0.0,5000,3169,1.0,6,0,1.0,1.0,1.0,1.0,4.298346896881703,0.012539216736836344,0.024849420655405935,-0.008430293750556697,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
15,0.5250040553244396,1.1081611050814764,0.015706764477545605,0.0,5000,3155,1.0,6,0,1.0,1.0,1.0,1.0,4.597970222437072,0.008817558463104601,0.018574043753491122,-0.0033962409372764726,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
16,0.5203910366233843,1.1224753859043322,0.011995306076410504,0.0,5000,3183,1.0,7,0,1.0,1.0,1.0,1.0,4.907430488514989,-0.016340849652411442,0.03308870759555876,-0.015269073874485704,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
17,0.5244136381338197,1.118084420720972,0.01080122546779154,0.0,5000,3144,1.0,6,0,1.0,1.0,1.0,1.0,5.19747131093839,-0.006505603780070257,0.020540039384989457,-0.02103052078464388,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
18,0.5216972659410459,1.1229943768350357,0.010351170573583923,0.0,5000,3095,1.0,7,0,1.0,1.0,1.0,1.0,5.51730038136473,-0.00728383759647427,0.02777001024083797,-0.020896089817944503,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
19,0.5181723110637318,1.128917742210908,0.010277667854000782,0.0,5000,3164,1.0,5,0,1.0,1.0,1.0,1.0,5.846313588680342,-0.00034817780211579465,0.03031484901373124,-0.01924037669139459,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
20,0.5173776691001247,1.1175800484301672,0.017488983634467086,0.0,5000,3139,1.0,7,0,1.0,1.0,1.0,1.0,6.162371540442225,0.008933603718281707,0.02701087358915712,-0.006899700122768842,0.5220944892776055,0.1677486896826069,0.6728986346224981,0.5025110656793091,6.039716305598372e-29,1.276113477431205e-28,2.757672835377996e-27,4.6389951607653125e-28
