generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
0,0.9804934652062169,0.000432977413922039,0.004627432524047115,0.0015478051603136191,0.009892634089585416,0.00022332228631690966,0.0,0.0,0.08331477863323637,0.0009102530251679446,5000.0,0.0,3162.35,20.600424752902548,1.0,0.0,6.475,0.7411983540186795,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983066241632043,0.007612225059108675,0.498622821707462,0.006260096013209427,0.5009088117471996,0.006859670294249722,0.5001238362255631,0.006013744448664335,0.08335835714583417,0.0018732476383461246,0.08363498615566868,0.001809830459899507,0.08321443294741741,0.0013648032813275632,0.08305133828402522,0.002040811940424837,0
1,0.9187225483730626,0.0024716193346173494,0.3063353517914416,0.009039345108000727,0.019549239933066766,0.00035273741161601866,0.0,0.0,0.08307771845545764,0.0011555381525262083,5000.0,0.0,3162.2,22.917460592308217,1.0,0.0,6.425,0.7031180555212617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3107602677385649,0.008352459488371844,0.0006091526397981051,0.010047286347125055,0.0011236644844197393,0.008159416196581724,-0.0014201939556726937,0.00796682096900056,0.49855811181342036,0.010863203729852534,0.49926573204096164,0.009052279915730736,0.4999624294757741,0.01004114041386781,0.5004162073543391,0.008693096396407893,0.0829209508421265,0.0025068976437233313,0.08374275266370061,0.002436402666472884,0.08316683046586942,0.0023279316093781665,0.08248033985013396,0.0027687133745530426,0
2,0.794702376541275,0.006449823517793062,0.5968797980672115,0.01363911440721528,0.02865686822292368,0.0006136575427169743,0.0,0.0,0.08299750699777744,0.0013531011108779663,5000.0,0.0,3165.775,22.47830898888971,1.0,0.0,6.525,0.7411983540186796,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.619562934978231,0.01257054508045655,0.00162585177446869,0.01331772721019905,0.004237933488462873,0.014094298328184212,-0.0005267752262699901,0.011842707949898439,0.49810688876920856,0.010882010066018216,0.5010388885349817,0.011046432258655479,0.499472210969978,0.011808173679680874,0.5017714139919407,0.01185207646212514,0.08244869809999114,0.0030059234785684502,0.08358094784435495,0.0029688028114862692,0.08342115204450351,0.0025914857365954436,0.08253923000226013,0.0027014402894302153,0
3,0.6660275633389194,0.005886627873677223,0.8347994418464783,0.010668661101105469,0.033681479604906216,0.00079304558093535,0.0,0.0,0.082965416532471,0.0017037961369442984,5000.0,0.0,3157.675,16.11270849360839,1.0,0.0,6.35,0.6910137480542627,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9265583600311535,0.013468234860754803,0.0029924045977689773,0.014260649689237001,0.004713743977241038,0.013842621047971758,0.0015837534323319747,0.013493728474090718,0.49861400736295547,0.013968705171303606,0.5007072801442185,0.0148079415383651,0.49873329772485836,0.013230546294644324,0.5008368045091178,0.012862862131011996,0.08249256769447724,0.003853660279150509,0.08370724953880045,0.003648625200402058,0.08335909402126776,0.0029174298903510767,0.08230275487533849,0.003071328641659074,0
4,0.5979785924642405,0.003413920330701283,0.9538381517833319,0.006580855991782939,0.033269925155666916,0.0013538273115948002,0.0,0.0,0.08282710161813348,0.0022274002310014524,5000.0,0.0,3157.525,16.89080741113343,1.0,0.0,6.325,0.5651327277728658,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.235175576763341,0.016061106468101813,0.0027134707641565496,0.016929270288061817,0.005275435438991982,0.016462019992538348,0.001625063721940024,0.018779364671857167,0.49996477520691035,0.018644255137790458,0.5024179713855226,0.023147987592547978,0.4957573030496589,0.017968996002801777,0.499358789024687,0.017371894643780392,0.08225821693795193,0.005058016308184807,0.08329939327317867,0.004097733507786107,0.08298642554502571,0.003945301169794975,0.08276437071637759,0.00524198015552677,0
5,0.5706359511750749,0.006267742438733891,1.0011587689565764,0.013043996013154209,0.032522872306213514,0.002417376826701174,0.0,0.0,0.08224489400017643,0.0037602177946402,5000.0,0.0,3162.15,22.402622614327992,1.0,0.0,6.2,0.6403124237432849,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5449577731810744,0.018546949545222728,0.002787818159955154,0.020979010600460785,0.004407457209233612,0.02053803202485808,0.0012359523299426008,0.02066462763836038,0.5007040981324288,0.029059943519381806,0.5044848271211088,0.03217615265448044,0.49793161343492615,0.030537962857172394,0.5023717207538138,0.029542651226572746,0.08111961762183037,0.009462986939745408,0.0833212526451154,0.007640641113604542,0.08112150628765057,0.006943479407623823,0.08341719944610937,0.008363939096689092,0
6,0.556050561591559,0.007990237686341106,1.0279065180141387,0.01642787687987321,0.031059973684660725,0.0032381585694628385,0.0,0.0,0.07824241999706208,0.008545297057722875,5000.0,0.0,3155.575,23.678985936901945,1.0,0.0,6.3,0.5567764362830021,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8569098756487512,0.019386446503618707,0.0034641202974035864,0.021170493614914174,0.002584307626778521,0.02507747306873413,0.0026230280536331564,0.02320661874253617,0.49765888577024847,0.05222877616497642,0.5029122527114355,0.08479398673504203,0.4974422663905086,0.07246431050608383,0.5101973206102841,0.081405809325749,0.07810408111874198,0.019749707571804012,0.07942300185969217,0.014384193334687104,0.07613918934625034,0.014101130966444702,0.07930340766356377,0.017930246386009676,0
7,0.543027937239425,0.0077008379177311475,1.0564529740691275,0.016682689246837957,0.02740072423479577,0.0039963850896678355,0.0,0.0,0.06463074051585944,0.017100494654539805,5000.0,0.0,3160.875,20.118632533052537,1.0,0.0,6.275,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.166344057451451,0.021519618199446665,0.0011694629859272943,0.022435879133784187,-0.0001311399492105493,0.023781876841193105,-0.0001624805092084878,0.026938382404696808,0.4934729817296203,0.1141156417851315,0.496762873742398,0.1526884933917035,0.4735047565533135,0.13384461701969014,0.5137811121194211,0.1379886342733557,0.06300478245290358,0.027202290468353235,0.065365366790183,0.02765895998554323,0.06296031443203368,0.021518727547242125,0.06719249838831746,0.0318008206741946,0
8,0.5324694420345202,0.007434799071830452,1.0813266956857777,0.014954597112611242,0.023545029610752093,0.004510634556481852,0.0,0.0,0.05007746175106087,0.023806528737577024,5000.0,0.0,3163.35,22.394809666527642,1.0,0.0,6.275,0.6703543838895961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.4764671417547013,0.024618741809826705,0.001097734347671147,0.02424265615121408,0.0010637938157227107,0.025580388425552505,-0.00199416883662988,0.027720530135760944,0.48429869946925164,0.16684268108273564,0.49234088600654546,0.20145675073692665,0.46955710078841284,0.17100885441246078,0.5027169851087872,0.18435405812518402,0.04660567121552879,0.02967727013552456,0.04961722564750791,0.030821772225570972,0.049740277182932564,0.03324810324593954,0.05434667295827421,0.04078022621798173,0
9,0.5271726427998521,0.007087143263923663,1.097370428201532,0.01393449198270814,0.019594447095019223,0.0054789621672235896,0.0,0.0,0.03629789065866912,0.025693112873957705,5000.0,0.0,3162.525,24.544844163286104,1.0,0.0,6.425,0.7378177281686853,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.787914769406786,0.027148350371495916,0.0017872284759090531,0.024205189191076285,0.0022546149908424865,0.026560004534877824,-0.002058483314748839,0.027409065162568847,0.479463252606476,0.1975756703865453,0.49376152744545826,0.24652051372127234,0.4844734194337194,0.19748421230539792,0.4945283612963297,0.22150882963545743,0.035329780007007955,0.031404575134426634,0.030562676879993984,0.02907452392666761,0.040535686714459236,0.040585652320853705,0.0387634190332153,0.039752926220634845,0
